file,n_nodes,n_edges,density,avg_degree,diameter_lcc,aspl_lcc,avg_clustering,degree_entropy,node_label_entropy,edge_label_entropy,lap_num_unique_eigs,lap_spectral_entropy,adj_graph_energy,wl_hash,error
35_1_5.json,3.0,3.0,1.0,2.0,2.0,1.3333333333333333,0.0,0.9182958340544896,1.584962500721156,1.584962500721156,3.0,0.8112781244591327,2.4738633753705965,94e7867ab8e7e2757fec6c7b0d0bae3a,
35_3_0.json,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,-0.0,1.8867962264113207,a949897dea982bcbc1ba2d302a08d889,
360_0_0.json,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,-0.0,1.8867962264113207,5c4b64adc3040b0d6b79ddade16cfb5c,
360_0_2.json,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,-0.0,1.8867962264113207,d073d0cc5059b98e128fa377d214a9f4,
361_0_1.json,,,,,,,,,,,,,,,"scipy.sparse does not support dtype object. The only supported types are: bool, int8, uint8, int16, uint16, intc, uintc, int32, uint32, int64, uint64, float32, float64, longdouble, complex64, complex128, clongdouble."
361_0_3.json,3.0,3.0,1.0,2.0,2.0,1.3333333333333333,0.0,0.9182958340544896,1.584962500721156,1.584962500721156,3.0,0.8112781244591327,2.4738633753705965,8d35e2f729e78a592f5f0afcb7f84659,
361_1_0.json,3.0,3.0,1.0,2.0,2.0,1.3333333333333333,0.0,0.9182958340544896,1.584962500721156,1.584962500721156,3.0,0.8112781244591327,2.4738633753705965,e7c41b106d2a2fbdb2217ecf87c4db62,
361_2_0.json,3.0,3.0,1.0,2.0,2.0,1.3333333333333333,0.0,0.9182958340544896,1.584962500721156,1.584962500721156,3.0,0.8112781244591327,2.4738633753705965,f4c09e041088ad6d2e9a84733f019a91,
361_4_0.json,3.0,3.0,1.0,2.0,2.0,1.3333333333333333,0.0,0.9182958340544896,1.584962500721156,1.584962500721156,3.0,0.8112781244591327,2.4738633753705965,843f8f6277ba327371b441e9994fdd8f,
361_4_1.json,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,-0.0,1.8867962264113207,1fa77ea2407efffbd5cbd6fd004346f4,
362_0_2.json,1.0,1.0,0.0,2.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,1.0,fca2f0254e03460a708c8dbfa89362d0,
363_1_3.json,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,-0.0,1.8867962264113207,773c49e335876624abba23f913bb015f,
363_2_2.json,,,,,,,,,,,,,,,"scipy.sparse does not support dtype object. The only supported types are: bool, int8, uint8, int16, uint16, intc, uintc, int32, uint32, int64, uint64, float32, float64, longdouble, complex64, complex128, clongdouble."
363_2_3.json,,,,,,,,,,,,,,,"scipy.sparse does not support dtype object. The only supported types are: bool, int8, uint8, int16, uint16, intc, uintc, int32, uint32, int64, uint64, float32, float64, longdouble, complex64, complex128, clongdouble."
363_3_0.json,,,,,,,,,,,,,,,"scipy.sparse does not support dtype object. The only supported types are: bool, int8, uint8, int16, uint16, intc, uintc, int32, uint32, int64, uint64, float32, float64, longdouble, complex64, complex128, clongdouble."
363_5_0.json,3.0,3.0,1.0,2.0,2.0,1.3333333333333333,0.0,0.9182958340544896,1.584962500721156,1.584962500721156,3.0,0.8112781244591327,2.4738633753705965,a8c87dae129dcf6fd1c31c140e858e76,
363_5_2.json,3.0,3.0,1.0,2.0,2.0,1.3333333333333333,0.0,0.9182958340544896,1.584962500721156,1.584962500721156,3.0,0.8112781244591327,2.4738633753705965,c00a6eb281659ad1e717faa5f600ec35,
363_6_0.json,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,-0.0,1.8867962264113207,e96099bff7b690bf5afca52ae00399c1,
364_0_0.json,,,,,,,,,,,,,,,"scipy.sparse does not support dtype object. The only supported types are: bool, int8, uint8, int16, uint16, intc, uintc, int32, uint32, int64, uint64, float32, float64, longdouble, complex64, complex128, clongdouble."
364_1_0.json,,,,,,,,,,,,,,,"scipy.sparse does not support dtype object. The only supported types are: bool, int8, uint8, int16, uint16, intc, uintc, int32, uint32, int64, uint64, float32, float64, longdouble, complex64, complex128, clongdouble."
364_2_0.json,3.0,3.0,1.0,2.0,2.0,1.3333333333333333,0.0,0.9182958340544896,1.584962500721156,1.584962500721156,3.0,0.8112781244591327,2.4738633753705965,8335fe73232e7dc9f4e1475e942776b5,
364_3_0.json,3.0,3.0,1.0,2.0,2.0,1.3333333333333333,0.0,0.9182958340544896,1.584962500721156,1.584962500721156,3.0,0.8112781244591327,2.4738633753705965,7607dd4ac4d1e683ddb888eb99a912b0,
